course_code,units,title,description
ANS 136,3 units,Techniques & Practices of Fish Culture,"Daily care and maintenance of fish in residential aquariums, research and commercial facilities. Biological and environmental factors important to sound management of fish. Laboratories focus on fish culture including growth trials and biochemical assays."
ANS 137,3 units,Techniques & Practices of Avian Culture,"Daily care and maintenance of birds for research, commercial production and companion or hobby uses. Biological and environmental factors important to sound management of birds. Laboratories focus on bird husbandry, management and care and include growth trials and biochemical assays."
ANS 138,3 units,Meat Quality & Safety Laboratory,"Advanced hands-on experience with meat and food related research. Development of laboratory skills in chemistry, biochemistry, microbiology, and meat science."
ANS 139,3 units,Experimental Animal Physiology,"Combination of theory and hands-on experiences in animal physiology using various experimental techniques. Practical laboratory skill development from cellular level to whole animal, in areas such as genetics, endocrinology, histology and physiological function."
ANS 140,4 units,Management of Laboratory Animals,"Laboratory animal management procedures in view of animal physiology, health and welfare, government regulations, and experimental needs. Clinical techniques using rodents and rabbits as models."
ANS 141,4 units,Equine Enterprise Management,"Examination of the concepts and principles involved in the operation of an equine enterprise. Essential aspects of equine enterprise management, including equine law, marketing, cash flow analysis, and impact of state and federal regulations."
ANS 142,4 units,Companion Animal Care & Management,"Management and production of companion animals. Integration of the disciplinary principles of behavior, genetics, nutrition, and physiology as related to the care of companion animals."
ANS 143,4 units,Pig & Poultry Care & Management,"Care and management of swine, broilers and turkeys as related to environmental physiology, nutrition and metabolism, disease management and reproduction. Saturday field trips."
ANS 144,4 units,Beef Cattle & Sheep Production,"Genetics, physiology, nutrition, economics and business in beef cattle and sheep production. Resources used, species differences, range and feedlot operations. Emphasis on integration and information needed in methods for management of livestock enterprises. One or two Saturday field trips."
ANS 145,4 units,Meat Processing & Marketing,"Distribution, processing and marketing of meat and meat products. Meat and meat animal grading and pricing. Government regulations and social/consumer concerns. Future trends and impact on production management practices. Includes poultry."
ANS 146,5 units,Dairy Cattle Production,"Scientific principles from genetics, nutrition, physiology, and related fields applied to conversion of animal feed to human food through dairy animals. Management and economic decisions are related to animal biology considering the environment and animal well-being. Mandatory Saturday field-trip."
ANS 147,3 units,Dairy Processing & Marketing,"Examination of distribution systems, processing practices, product quality, impact of government policy (domestic and foreign), marketing alternatives, and product development."
ANS 148,4 units,Enterprise Analysis in Animal Industries,"Examination and application of decision making and problem solving in the production enterprise. Areas of production analysis, problem solving, risk analysis and cost-benefit analysis will be examined in terms of the total enterprise."
ANS 149,3 units,Farrier Science,"In-depth examination of the structure-function relationship of the equine hoof and how it relates to conformation, injury and performance."
ANS 149L,1 unit,Farrier Science Laboratory,"Art and science of horseshoeing in equine related fields. Proper use of the tools, materials and techniques in the fabrication of shoes and safe preparation of the hoof for application of shoes."
